gender,height,weight,age,color,occupation,race,hair,titan,loveHistoria,eyes,loyalty,humor,fighting,intelligence,willpower,execution,passion,coordination,rationality,isReiner
1,167,42,32,2,3,3,3,1,1,1,10,0,5,4,7,5,8,4,9,0
2,187,99,51,3,1,2,1,1,2,1,6,8,10,6,5,1,0,0,4,0
2,136,60,14,2,3,1,2,2,2,1,5,9,4,7,4,6,5,10,0,0
1,162,122,10,2,2,1,3,2,1,3,1,2,7,8,1,10,4,10,6,0
1,135,82,20,1,3,2,2,1,1,1,10,8,5,2,0,1,2,7,2,0
1,182,52,22,2,2,2,1,2,2,1,7,8,1,7,10,6,1,10,6,0
1,158,70,38,1,1,2,1,1,2,1,6,4,2,6,5,2,6,2,1,0
1,154,61,50,3,1,3,1,2,1,3,6,8,8,1,9,2,2,1,5,0
1,185,84,47,3,2,1,3,2,1,3,7,2,3,6,7,1,2,4,4,0
1,161,59,34,2,1,2,1,1,1,2,2,6,4,7,5,3,2,9,6,0
1,194,55,16,1,2,2,2,1,1,1,7,4,6,4,6,10,9,7,0,0
2,167,112,51,1,2,2,1,1,2,3,10,2,0,3,5,8,10,10,7,0
1,191,84,58,2,2,2,3,1,2,2,7,0,0,3,8,10,3,9,3,0
2,142,44,34,3,1,1,3,2,2,2,5,6,6,8,7,0,9,8,2,0
2,145,126,26,1,3,3,1,2,2,1,0,1,7,7,8,3,4,1,4,0
1,179,74,42,2,2,3,1,2,2,3,9,7,4,10,6,10,3,0,6,0
2,182,69,41,1,1,3,2,2,1,1,5,1,8,8,4,9,0,6,0,0
1,175,54,29,2,3,3,1,1,2,1,7,7,2,5,6,3,3,6,10,0
2,147,106,22,1,3,2,3,2,1,3,0,4,1,6,0,2,3,0,10,0
2,176,90,57,1,3,1,2,2,1,1,0,5,0,7,6,9,2,0,5,0
1,187,82,25,2,3,1,3,2,1,3,5,3,8,3,10,10,10,3,5,0
2,144,60,55,3,2,2,1,2,1,1,0,4,8,1,9,0,7,1,8,0
1,155,66,23,1,1,2,1,2,1,3,6,2,7,2,0,1,1,8,3,0
2,185,58,37,3,2,3,1,1,2,2,4,0,2,1,8,3,4,1,5,0
1,155,119,11,3,3,1,1,2,1,3,0,8,3,9,5,10,10,6,6,0
1,166,44,16,2,3,1,3,2,1,1,5,2,9,7,5,5,7,1,9,0
1,165,117,28,2,2,1,2,1,1,1,8,7,7,0,10,4,7,9,10,0
1,152,46,25,1,2,1,3,1,2,1,6,8,5,10,9,1,7,5,9,0
2,181,40,54,1,2,2,1,2,2,3,9,6,2,2,8,3,5,8,1,0
2,197,72,36,3,1,2,2,1,1,2,4,10,10,10,1,0,3,0,1,0
1,187,108,27,1,2,1,1,2,1,2,3,10,10,6,7,8,10,1,3,0
2,188,50,21,2,3,3,1,2,2,3,6,7,0,0,7,3,2,4,7,0
1,198,114,42,3,3,3,2,1,2,2,7,3,3,0,4,10,8,4,3,0
1,162,68,57,2,3,2,3,2,1,1,1,1,6,10,7,10,4,0,8,0
2,148,80,32,2,3,3,1,2,1,3,4,3,1,9,8,3,9,3,2,0
2,141,76,47,1,2,3,3,1,1,1,2,6,8,8,8,3,4,7,9,0
1,185,85,26,1,2,3,3,1,1,2,10,0,1,8,3,10,4,7,1,0
2,136,80,19,2,3,1,1,1,2,1,10,4,8,8,0,10,1,0,4,0
2,164,121,45,2,3,2,2,1,1,2,9,1,10,9,6,7,8,0,2,0
1,183,69,16,1,3,3,2,1,1,1,10,0,6,3,3,5,9,0,1,0
1,180,44,59,3,2,1,3,2,1,2,0,10,2,2,8,0,2,3,10,0
1,166,55,49,3,3,2,1,2,2,2,1,4,7,1,8,7,5,5,2,0
1,140,48,54,1,3,1,3,2,2,2,3,10,2,7,6,1,4,0,6,0
1,164,94,27,2,3,2,1,2,2,1,1,0,2,7,5,6,0,7,4,0
1,196,55,42,1,2,1,2,1,1,1,4,1,10,10,8,4,9,6,10,0
1,135,115,25,2,3,3,3,1,1,1,7,6,7,7,2,4,3,0,3,0
2,150,107,33,3,2,1,2,1,2,1,8,1,8,7,6,5,3,4,4,0
2,151,56,10,3,1,2,3,1,1,3,0,8,4,1,0,0,1,8,0,0
1,139,53,36,2,3,1,2,1,2,1,3,8,6,5,5,10,7,2,0,0
1,199,43,10,1,2,3,1,1,1,2,8,8,2,5,9,4,1,9,4,0
2,142,85,23,1,3,1,1,2,2,1,8,10,1,10,10,9,2,2,3,0
2,159,54,35,3,2,2,3,2,2,1,4,5,6,2,3,5,1,3,10,0
2,180,125,37,3,2,1,3,1,1,2,0,0,7,10,2,0,10,4,8,0
2,179,42,30,2,2,1,1,1,2,3,8,0,10,9,4,3,5,2,10,0
1,179,74,17,1,3,1,1,2,2,1,10,7,3,9,10,4,1,0,10,0
2,138,62,20,1,1,1,1,2,2,2,10,5,2,3,1,9,0,10,3,0
2,172,48,21,3,1,3,2,2,2,1,6,1,8,1,10,6,0,7,9,0
1,165,46,52,2,1,1,3,2,1,1,3,10,10,5,0,7,6,4,0,0
2,190,121,32,2,2,3,3,1,2,1,1,7,5,1,3,7,0,8,6,0
2,169,105,25,2,3,3,1,2,1,2,8,0,0,6,3,3,10,7,1,0
1,147,79,32,1,2,2,1,1,1,2,7,5,10,10,0,3,1,8,8,0
1,169,74,16,1,1,2,2,2,1,3,10,3,1,7,0,10,5,7,6,0
1,182,122,19,3,3,3,2,2,2,2,5,4,2,8,6,9,0,6,6,0
2,143,81,44,3,2,1,2,1,1,1,10,4,4,5,6,1,4,2,3,0
2,177,111,50,2,2,3,2,1,1,3,8,7,3,1,8,10,4,4,10,0
1,157,93,44,3,2,3,1,2,1,1,6,10,6,4,5,0,10,1,6,0
2,146,67,51,2,1,2,3,2,2,2,9,1,6,9,6,7,5,0,9,0
1,163,102,36,3,3,3,2,1,1,2,7,10,10,8,8,6,2,8,8,0
2,183,124,20,3,1,1,2,1,2,1,1,6,6,4,6,3,4,9,0,0
1,197,54,59,2,1,2,3,2,1,2,4,4,0,2,2,5,6,2,3,0
2,152,116,15,1,1,2,3,2,1,2,3,6,9,7,10,10,7,3,0,0
1,170,78,14,2,3,2,2,2,2,3,3,2,9,2,6,2,1,2,10,0
1,137,61,21,3,2,1,3,1,1,3,10,4,1,1,3,5,5,4,7,0
1,143,81,22,1,3,2,1,1,2,3,7,2,9,7,5,9,2,7,0,0
1,160,118,55,1,2,2,1,2,1,2,4,9,6,8,10,6,5,7,1,0
1,138,95,46,2,2,2,2,2,1,1,9,0,2,6,9,3,4,7,3,0
1,135,99,52,3,2,3,1,1,1,2,1,3,8,2,8,2,3,7,2,0
1,182,93,18,3,1,3,3,2,2,3,9,7,6,6,3,4,3,9,8,0
1,159,104,14,2,1,2,2,2,2,3,8,3,6,4,2,10,4,7,10,0
2,135,61,14,3,3,1,3,1,2,1,6,2,7,3,10,9,4,10,5,0
2,144,92,15,1,3,1,3,2,1,2,1,1,7,2,3,7,6,9,7,0
1,187,108,31,2,1,2,3,2,2,3,2,7,6,8,7,3,7,0,7,0
2,162,76,12,1,3,1,2,2,1,1,8,2,7,5,2,9,3,8,6,0
1,159,78,51,2,3,2,1,1,1,1,6,8,7,4,7,6,8,9,1,0
1,179,86,29,1,2,2,1,1,1,3,1,10,10,5,5,7,4,0,0,0
2,150,111,32,1,1,1,2,1,2,3,1,5,10,0,10,3,5,1,1,0
1,135,91,51,2,1,1,3,2,2,1,8,3,6,3,1,5,1,0,0,0
1,165,83,32,3,1,2,1,2,2,1,1,6,0,9,10,2,1,7,2,0
2,163,98,17,1,2,1,1,2,2,3,1,5,9,10,4,0,6,2,3,0
2,178,124,12,2,1,1,3,1,1,2,4,10,6,6,0,2,8,9,0,0
2,141,64,28,1,3,3,3,2,2,3,0,8,2,3,1,3,5,10,6,0
1,181,118,42,1,2,1,2,1,1,2,9,10,3,3,7,8,3,2,1,0
1,168,42,18,1,3,3,1,2,1,1,9,8,10,10,0,6,3,7,5,0
2,161,50,25,1,3,3,3,2,1,2,1,8,6,0,2,9,7,6,0,0
1,159,43,16,1,2,3,2,1,1,1,5,3,4,7,9,8,2,6,1,0
1,194,102,12,2,3,1,2,1,2,3,9,5,3,3,10,1,8,10,3,0
1,184,87,30,3,3,1,3,2,1,3,10,1,5,9,5,8,3,3,10,0
1,168,59,49,2,1,1,1,2,1,2,1,6,5,10,8,7,2,9,2,0
2,137,116,51,2,1,2,2,2,1,2,6,7,0,8,9,2,10,2,7,0
2,146,100,35,1,3,2,3,1,1,3,8,6,7,1,10,8,1,8,5,0
2,145,69,57,2,2,2,1,2,1,3,8,5,10,1,3,3,9,2,5,0
1,171,129,23,3,3,2,2,1,2,1,4,8,4,6,8,2,10,7,2,0
1,172,109,15,1,1,1,3,1,2,3,3,10,1,1,1,10,8,0,3,0
2,181,107,35,3,1,3,2,1,1,3,2,6,10,8,4,2,2,3,1,0
1,154,63,22,3,1,3,2,1,2,2,5,0,10,4,3,10,8,6,2,1
2,157,124,22,3,3,2,3,2,2,2,4,7,7,3,6,10,2,8,3,0
2,142,78,50,1,1,2,3,1,2,3,7,0,1,0,3,7,9,6,8,0
2,140,106,10,2,1,2,2,2,1,2,2,4,7,0,4,6,6,8,5,0
1,193,56,16,3,2,3,1,2,1,3,10,9,6,1,6,9,6,9,10,0
1,194,118,51,3,3,1,2,1,1,2,7,4,6,10,8,5,4,4,4,0
2,149,110,43,1,3,3,3,2,2,3,0,9,9,8,2,4,3,0,7,0
2,185,113,40,3,3,2,3,1,1,2,6,8,5,3,4,10,10,2,4,0
1,192,62,17,3,2,3,3,1,2,3,0,4,9,8,5,3,9,4,10,0
1,176,104,26,1,1,1,1,1,1,1,2,4,0,2,9,7,1,6,1,0
2,167,125,24,3,1,3,2,1,2,1,8,9,7,3,1,6,5,10,4,0
1,177,71,16,2,3,1,1,1,1,3,8,3,8,0,3,3,4,0,8,0
2,136,52,24,3,2,3,2,1,1,3,3,8,1,6,2,4,0,7,1,0
2,192,55,18,2,2,2,2,2,1,1,3,0,10,8,3,8,7,10,2,0
2,147,41,11,2,1,2,1,2,1,2,0,5,10,3,6,5,6,7,6,0
2,192,74,24,1,1,2,3,2,1,1,10,2,3,2,5,6,7,9,6,0
1,163,54,42,3,3,1,3,2,1,1,6,1,3,4,2,2,8,1,6,0
2,169,110,54,3,1,3,2,2,2,3,2,0,1,3,3,7,1,10,8,0
2,191,75,37,1,1,3,3,1,1,2,7,7,0,7,2,0,3,1,3,0
1,192,84,54,3,2,3,2,2,2,1,10,10,9,9,10,5,10,7,9,0
2,163,44,37,1,2,1,3,1,2,2,5,8,6,5,1,4,9,9,9,0
1,185,72,55,3,2,1,1,2,2,3,7,10,8,2,1,3,4,8,4,0
1,188,126,12,3,2,3,1,1,2,3,7,3,2,1,1,4,0,0,7,0
1,198,121,53,3,1,3,3,2,2,1,0,4,4,8,10,1,1,0,8,0
2,177,101,40,3,3,3,3,2,2,2,10,10,5,5,5,1,2,7,5,0
1,166,111,45,1,3,1,2,1,1,3,8,6,9,1,4,6,0,4,2,0
1,195,122,56,1,1,3,3,1,1,1,5,10,6,0,8,2,0,8,7,0
2,191,63,49,3,1,3,2,1,2,2,9,6,9,1,4,0,4,5,9,0
2,144,106,14,1,1,2,3,2,1,3,10,3,9,10,2,8,10,7,0,0
2,141,65,38,1,3,1,3,1,1,3,5,3,0,2,7,4,2,7,6,0
2,192,80,49,1,1,1,1,2,1,1,3,5,3,2,3,2,8,9,6,0
1,140,103,47,2,3,2,1,2,2,2,1,1,10,3,0,9,2,2,7,0
1,156,74,32,1,2,3,3,1,2,1,10,0,10,8,0,6,7,9,8,0
1,137,102,25,2,3,2,2,1,2,1,2,7,8,8,5,4,6,1,8,0
1,193,108,47,3,2,1,1,2,1,2,9,7,9,5,9,2,10,7,5,0
1,177,69,29,1,1,3,1,1,1,1,0,10,1,2,9,10,3,9,4,0
2,184,82,21,1,3,1,2,2,2,3,1,7,3,6,9,8,5,0,0,0
1,173,79,29,1,2,1,1,2,1,1,5,10,3,1,0,10,1,5,3,0
1,143,98,49,2,2,2,1,1,1,2,10,3,7,9,2,6,5,1,1,0
2,172,98,27,1,1,1,3,2,2,2,4,4,7,0,9,3,2,6,5,0
1,153,79,46,3,1,1,3,1,1,1,4,6,6,1,3,9,10,8,8,0
2,182,103,44,3,2,3,2,1,2,2,1,6,7,10,8,3,8,5,4,0
1,144,125,29,3,2,2,1,2,2,1,8,10,2,4,1,5,4,10,10,0
1,180,124,54,3,2,3,2,1,2,3,0,0,10,9,10,9,7,2,7,0
1,179,78,38,3,3,3,2,2,2,1,1,6,4,8,10,6,5,5,8,0
1,197,47,42,3,3,1,1,2,1,1,4,5,8,4,5,8,6,0,7,0
2,140,112,45,3,3,2,2,2,2,1,9,4,0,0,10,10,5,0,7,0
1,159,129,51,3,1,1,1,1,2,2,8,0,2,2,4,1,5,9,3,0
1,186,126,58,1,3,2,2,1,1,1,6,10,0,5,9,0,0,4,8,0
1,150,94,18,1,1,2,2,2,1,3,8,2,6,8,7,4,6,4,4,0
2,189,107,12,1,2,3,1,2,1,1,10,10,0,7,8,3,8,6,8,0
2,144,63,11,1,3,3,1,2,1,3,3,9,6,0,10,10,0,4,4,0
2,135,50,40,2,2,3,1,2,1,3,9,8,4,3,0,8,7,8,5,0
2,167,70,13,3,2,2,2,1,1,3,5,6,1,7,5,8,5,4,9,0
2,188,52,45,3,1,1,2,2,2,3,7,5,0,0,4,6,10,4,9,0
1,173,83,17,1,3,3,1,2,2,2,6,8,2,5,1,5,1,8,8,0
2,165,121,35,3,3,3,2,1,2,3,8,6,2,4,1,9,6,0,7,0
1,179,42,55,3,3,3,2,1,2,1,4,6,7,1,0,5,1,3,5,0
2,183,89,10,3,3,3,3,1,2,3,2,0,6,4,4,3,2,3,1,0
2,158,88,28,1,2,3,2,2,1,3,8,1,5,1,7,1,6,10,8,0
1,137,103,38,3,2,2,1,2,2,2,6,2,7,0,1,8,9,7,2,0
1,196,82,59,3,3,2,1,2,2,1,0,5,4,0,7,5,6,0,0,0
1,170,91,57,1,2,2,3,1,1,2,3,5,10,5,0,0,6,2,6,0
2,173,68,50,2,3,1,1,2,1,3,9,0,9,3,5,4,3,10,6,0
1,175,128,29,3,1,1,1,2,2,2,1,7,10,1,9,2,10,0,6,0
1,172,117,37,2,3,1,1,1,1,1,0,7,6,0,5,1,4,10,2,0
2,189,101,21,1,1,2,2,1,1,3,7,8,10,8,6,10,9,9,1,0
1,153,94,49,3,1,3,1,1,1,2,7,4,3,10,0,7,3,7,9,0
2,193,89,41,1,3,2,2,2,1,2,7,4,1,5,7,5,5,4,5,0
2,171,66,40,2,2,2,1,2,2,3,1,7,9,8,10,6,3,2,9,0
2,138,115,22,1,3,1,2,2,1,3,5,9,0,5,9,10,9,3,5,0
1,194,57,57,3,2,1,3,2,2,3,3,4,1,7,0,5,5,10,1,0
2,174,109,28,2,1,1,2,2,1,1,10,0,8,3,6,1,5,7,0,0
1,174,40,29,2,1,2,1,2,1,2,0,6,3,0,4,5,2,1,10,0
2,153,47,22,1,2,2,2,2,1,3,3,9,10,6,7,3,0,5,5,0
2,161,122,53,1,1,2,3,2,2,1,5,7,2,6,10,1,2,3,7,0
2,146,67,50,3,2,1,1,1,1,3,1,0,7,10,8,6,7,0,8,0
1,189,41,12,1,2,1,1,1,2,1,5,9,2,1,10,3,5,1,7,0
1,135,77,42,1,1,2,3,2,1,1,1,7,4,6,0,8,4,4,7,0
1,169,78,27,2,2,1,1,2,2,3,4,2,4,2,1,3,5,9,3,0
1,185,59,41,2,3,1,3,2,1,3,1,6,3,4,7,8,3,8,0,0
1,154,60,11,3,2,3,1,2,2,1,2,3,3,3,2,7,0,8,0,0
1,189,107,30,3,2,3,2,2,1,1,8,3,8,7,0,9,2,3,4,0
1,152,95,47,2,1,1,2,1,2,1,1,10,2,5,8,1,6,10,5,0
2,172,76,47,2,2,3,1,1,2,1,7,10,5,7,6,5,4,10,1,0
1,146,67,23,3,2,3,3,2,1,2,1,9,4,3,10,2,1,3,3,0
1,159,125,12,1,2,1,1,2,1,2,8,10,0,5,1,8,2,7,10,0
2,194,109,24,2,1,2,1,2,2,2,6,4,1,0,0,3,9,9,6,0
1,139,122,45,3,3,1,2,2,2,3,9,9,5,4,9,6,1,7,2,0
1,199,124,15,2,2,3,2,2,2,3,5,3,4,2,2,1,10,3,0,0
2,187,52,42,3,2,1,1,2,2,3,5,5,9,0,6,2,1,9,5,0
1,177,116,32,2,1,2,1,2,2,2,5,7,6,2,9,10,1,4,7,0
2,149,61,17,1,1,3,3,2,1,1,10,7,10,4,1,0,2,9,3,0
1,174,99,12,1,3,1,1,2,2,3,4,5,8,7,4,7,2,3,4,0
1,164,117,24,3,1,3,2,1,1,2,9,8,7,9,8,8,7,7,3,1
1,197,107,14,1,1,2,3,2,1,3,4,9,0,1,7,4,6,9,2,0
2,175,100,57,2,1,1,3,1,1,3,3,2,7,0,4,5,7,0,4,0
2,157,45,31,1,1,3,3,1,2,1,3,6,1,5,10,4,7,10,2,0
1,178,55,49,1,1,3,3,2,1,2,4,1,3,5,10,0,8,1,4,0
1,174,71,37,3,1,2,3,2,1,2,4,0,0,9,1,3,4,4,3,0
2,157,110,24,2,3,2,1,1,2,2,8,5,1,7,9,7,1,7,7,0
1,164,90,16,3,3,2,2,1,2,1,1,7,8,8,6,1,3,2,7,0
1,154,42,35,1,3,3,1,2,1,3,1,2,8,8,6,8,4,0,6,0
1,151,70,58,3,1,1,2,1,1,3,1,7,7,2,9,3,1,10,4,0
1,138,58,49,3,1,1,1,1,1,3,6,1,4,2,7,7,5,9,3,0
2,199,115,39,1,3,3,1,2,1,2,8,0,4,0,1,10,6,1,0,0
2,142,68,20,3,1,3,2,1,2,3,9,10,4,7,6,10,10,0,0,0
1,183,104,55,1,1,3,1,2,2,3,10,2,8,4,4,3,7,0,2,0
1,153,60,48,3,3,1,1,2,1,2,3,5,1,0,2,5,6,7,8,0
2,139,55,19,1,1,2,2,2,2,1,8,0,4,3,5,0,4,4,8,0
2,151,123,26,1,3,3,1,2,2,2,9,10,5,10,4,3,0,6,4,0
1,187,104,44,3,2,3,2,2,2,3,7,6,7,5,1,10,0,0,5,0
1,143,119,19,2,1,3,2,2,2,2,7,4,10,10,6,9,6,8,4,0
2,161,56,15,1,2,2,1,1,1,2,8,0,9,3,10,6,8,2,0,0
2,157,57,41,2,2,1,3,1,2,2,7,5,2,7,10,0,1,0,3,0
2,137,91,31,2,2,3,2,1,2,3,2,6,2,8,8,6,1,1,9,0
2,157,56,59,1,3,3,3,2,1,1,3,4,2,4,3,7,8,4,6,0
2,161,69,42,2,2,1,2,1,2,2,7,2,9,2,5,10,7,8,3,0
2,159,128,56,3,1,2,2,2,2,3,9,3,6,7,5,2,2,9,0,0
1,191,108,13,1,2,2,3,2,1,3,7,3,0,4,10,10,7,4,0,0
1,188,70,59,2,2,3,2,1,2,1,3,2,3,1,7,5,4,5,6,0
1,197,85,17,3,1,3,3,2,1,2,7,2,5,7,9,3,3,3,4,0
2,139,111,14,2,3,3,1,1,1,2,1,2,3,2,4,4,1,0,3,0
2,180,117,12,3,3,3,2,1,1,2,5,6,5,0,2,7,6,8,10,0
2,150,45,35,2,1,1,1,2,2,2,6,4,4,1,9,1,1,6,3,0
2,191,73,43,2,3,2,1,2,2,2,0,9,3,2,6,2,5,2,5,0
1,180,113,44,1,3,1,2,1,1,1,5,10,9,7,4,2,7,9,2,0
2,153,61,49,2,1,2,2,1,2,3,7,7,9,6,2,7,1,8,5,0
1,164,114,40,1,1,1,2,2,2,3,1,1,1,0,8,5,2,6,6,0
2,173,42,19,3,1,3,1,2,2,2,4,5,4,5,6,8,10,9,7,0
1,180,103,50,1,2,3,2,1,1,2,10,3,1,2,0,5,4,5,9,0
1,144,58,10,1,1,2,3,1,1,2,6,4,2,6,4,0,8,4,1,0
2,190,72,24,3,2,3,3,1,1,2,7,0,8,4,6,5,5,4,4,0
1,156,85,44,1,2,1,1,2,1,2,7,5,0,3,1,9,6,4,6,0
2,155,108,41,2,3,3,2,1,2,3,3,4,4,7,10,2,4,6,1,0
1,189,52,58,2,2,3,3,2,2,1,9,10,10,4,5,9,9,3,3,0
2,168,61,40,2,2,2,1,2,2,2,0,4,9,6,5,2,3,1,5,0
2,186,58,36,3,3,2,2,2,1,2,9,3,8,0,7,6,2,9,9,0
2,194,115,44,1,1,2,1,2,2,3,0,4,8,5,5,9,6,1,8,0
1,143,75,53,1,3,2,3,1,2,2,10,4,1,0,5,9,9,5,6,0
2,188,64,32,2,2,1,1,2,1,1,3,7,1,2,8,5,8,10,10,0
1,146,40,37,2,1,1,2,1,1,2,9,8,6,7,9,0,5,2,3,0
1,162,52,44,2,1,1,1,2,2,3,7,9,7,0,0,1,5,6,10,0
2,184,51,25,2,1,2,3,1,1,1,4,9,2,0,2,10,9,8,10,0
2,176,99,47,3,3,3,3,1,1,1,7,1,3,7,1,8,1,6,7,0
2,162,123,27,2,3,2,3,1,1,1,2,7,6,1,10,1,0,3,0,0
1,169,122,37,1,1,1,2,1,2,3,1,0,6,0,2,10,7,0,0,0
1,191,121,40,3,1,3,3,2,2,3,8,8,2,0,3,0,1,3,2,0
2,145,110,14,1,3,3,2,1,2,3,2,3,8,10,1,0,5,1,6,0
1,145,57,36,2,2,2,1,2,1,2,6,9,2,7,3,6,7,2,4,0
2,145,57,17,2,2,2,2,1,2,3,7,5,4,10,8,7,10,7,5,0
1,190,106,12,2,2,1,3,1,2,2,1,10,5,1,0,2,9,10,7,0
2,140,81,50,3,2,3,1,2,2,3,8,0,3,10,4,8,0,3,10,0
1,164,97,28,3,2,2,1,2,2,3,1,1,2,8,5,8,1,6,9,0
2,163,86,32,2,3,3,1,1,2,2,5,8,5,9,10,4,6,10,8,0
1,182,117,50,2,1,1,3,1,1,3,10,5,2,10,3,4,10,2,6,0
1,165,94,47,1,3,1,1,2,2,2,0,9,1,7,8,6,6,6,8,0
1,145,81,38,2,3,1,3,1,1,3,3,7,9,7,8,0,8,0,2,0
2,160,88,47,1,3,1,3,2,2,2,2,8,5,7,5,8,10,4,0,0
2,168,54,38,2,3,3,3,2,2,3,9,8,4,2,10,5,6,10,0,0
2,180,47,17,3,1,2,2,2,2,1,7,2,6,2,3,4,1,4,10,0
1,157,97,39,2,3,1,3,2,2,3,1,3,3,9,7,10,7,9,3,0
2,176,75,57,3,2,2,3,1,1,3,8,1,4,1,8,4,2,6,6,0
1,194,77,16,1,3,1,3,2,2,1,10,5,6,0,8,6,6,9,3,0
2,135,45,49,3,3,1,2,2,2,1,3,6,8,1,5,6,5,10,1,0
1,173,95,47,1,2,3,2,1,1,3,9,5,6,5,1,6,6,10,7,0
1,195,42,23,2,3,2,2,2,1,3,2,10,0,5,5,8,7,2,10,0
1,147,75,24,2,3,2,1,1,1,2,8,0,6,8,5,4,7,10,3,0
2,174,119,11,1,3,1,2,2,1,3,5,0,10,3,4,2,9,8,0,0
2,162,118,31,3,2,1,2,2,2,3,4,6,4,8,1,7,7,10,3,0
1,182,95,13,2,3,2,2,2,2,2,4,0,6,7,3,7,8,1,9,0
1,190,59,23,3,1,1,3,2,2,3,4,5,0,5,7,5,10,4,5,0
2,162,97,29,1,3,2,3,2,2,3,5,10,8,2,1,6,1,2,3,0
2,160,89,31,3,3,3,3,1,2,1,1,2,0,5,2,3,6,1,3,0
1,176,57,15,2,2,3,3,2,2,3,9,6,4,10,2,9,1,6,0,0
2,174,110,51,2,2,2,3,1,1,1,7,4,10,5,4,7,4,5,5,0
1,180,43,49,1,3,1,2,1,1,2,9,1,0,3,10,9,3,6,4,0
2,170,73,39,1,3,3,3,1,1,2,4,6,0,5,0,7,4,2,5,0
1,144,129,39,2,3,1,3,1,2,1,1,7,3,6,2,3,7,7,5,0
1,183,51,40,1,3,2,1,1,1,1,0,3,8,9,4,8,2,5,5,0
2,178,92,37,1,1,2,2,1,2,2,9,6,2,10,5,4,0,6,1,0
2,136,40,40,2,3,2,3,1,1,3,4,4,8,9,8,8,2,7,4,0
2,196,45,48,3,2,2,2,1,1,1,6,10,6,2,6,4,5,9,5,0
1,181,64,36,3,3,1,3,1,1,2,2,6,10,1,2,6,2,7,0,0
1,145,41,22,2,3,2,3,1,1,2,1,5,10,2,0,8,3,4,5,0
1,198,117,52,2,1,1,1,2,2,3,7,3,3,0,6,6,1,0,6,0
1,189,78,20,3,2,1,3,1,2,3,1,5,6,3,7,7,6,6,3,0
1,181,60,54,3,1,3,2,1,2,3,6,3,3,2,10,8,9,8,8,1
2,140,56,33,1,3,3,3,2,2,3,6,3,0,2,7,2,7,6,7,0
2,194,61,38,3,1,3,1,1,1,2,4,5,7,4,5,0,5,6,7,0
1,189,45,20,2,3,1,2,1,2,1,1,2,7,6,1,6,4,5,9,0
2,191,83,48,2,2,1,3,2,2,1,10,6,8,1,1,9,6,3,1,0
2,148,42,49,3,1,2,3,2,2,1,6,8,3,10,10,10,8,9,7,0
2,150,117,39,3,2,3,2,1,1,2,0,6,2,10,1,5,7,9,2,0
2,162,40,26,1,3,2,3,1,2,3,5,5,7,7,8,4,6,4,6,0
1,197,92,29,3,2,2,2,2,2,3,6,10,7,4,5,9,0,7,1,0
2,135,67,40,2,2,2,3,1,1,3,2,8,8,0,3,2,4,4,9,0
1,136,49,29,1,2,3,3,2,1,3,2,2,10,0,6,10,9,8,9,0
2,175,77,20,2,3,2,2,1,1,2,7,8,7,3,3,10,1,2,8,0
1,173,129,39,3,3,1,3,2,1,3,6,6,2,10,5,10,3,2,2,0
